action_type,author.badges.0.icon_name,author.badges.0.title,author.id,author.images.0.height,author.images.0.id,author.images.0.url,author.images.0.width,author.images.1.height,author.images.1.id,author.images.1.url,author.images.1.width,author.name,message,message_id,message_type,time_in_seconds,time_text,timestamp
add_chat_item,,,UCMYa8KkoVGZQF7TDl0-2VVA,32,32x32,https://yt4.ggpht.com/ytc/AKedOLRZVqqA3rd0CaD0QupDbd7-0oKUiBvTL-Re1r1N3j0wYA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLRZVqqA3rd0CaD0QupDbd7-0oKUiBvTL-Re1r1N3j0wYA=s64-c-k-c0x00ffffff-no-rj,64,振薄美沙居累,BGM!,CjoKGkNOdmNrWno3aVBRQ0ZUVWI1d29kUzlnT2tBEhxDSnVpMXNYNmlQUUNGWmVCY0FvZG56OExFUS0w,text_message,4591.071,1:16:31,1636381256609448
add_chat_item,,,UCFR2Iqe3sVHEpi9IrdrmXbQ,32,32x32,https://yt4.ggpht.com/d1lYddhyMiZgVrpyy3koKI7TgoPOTkUryKHCyvsPcZymGAZtiCUwyvvtkOU6qdCDwSqEK39OOA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/d1lYddhyMiZgVrpyy3koKI7TgoPOTkUryKHCyvsPcZymGAZtiCUwyvvtkOU6qdCDwSqEK39OOA=s64-c-k-c0x00ffffff-no-rj,64,ぽによ,いもーーーーーーーーーーーーーー,CjoKGkNQMnNsWno3aVBRQ0ZiNE1yUVlkOUpRQ1VnEhxDTXl2aFBQNWlQUUNGU2YzT0FZZEFka0I3dy00,text_message,4591.129,1:16:31,1636381256668855
add_chat_item,,,UCEGelpK0Q3vCjjUdve74uIA,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQIXvEZkIW71nzE9xzF8GMWXd6ReiLv7LLmcS6-=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQIXvEZkIW71nzE9xzF8GMWXd6ReiLv7LLmcS6-=s64-c-k-c0x00ffffff-no-rj,64,お〜いお茶,珍しい,CjoKGkNMbkp0Sno3aVBRQ0ZXb0dyUVlkaVVVSUh3EhxDUHVRM2RENWlQUUNGYlRYVEFJZDUyd0o1dy0w,text_message,4591.658,1:16:31,1636381257180371
add_chat_item,,,UCwzB4iaynBOPc57PFTGtYLg,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQewML8oWBfdMALB7gEbCdecRgs9VF5hkr9Vdvx=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQewML8oWBfdMALB7gEbCdecRgs9VF5hkr9Vdvx=s64-c-k-c0x00ffffff-no-rj,64,モーchannel,日本ですか？明るいですね,CjoKGkNQdUJ2Sno3aVBRQ0Zic1ZyUVlkM3pNS05nEhxDSjIzX0pMN2lQUUNGUWdIV0FvZFNXVURJdy0w,text_message,4591.782,1:16:31,1636381257302301
add_chat_item,,,UCpsOPIPVsIXEqZwS7eWLKWw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQdZl3bdQQsAYnkow9UewT9Z2UwXsfaQiEuLi8y=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQdZl3bdQQsAYnkow9UewT9Z2UwXsfaQiEuLi8y=s64-c-k-c0x00ffffff-no-rj,64,ぴょん太,その証明見たことある！,CjoKGkNQS0J2Sno3aVBRQ0ZYN0J3Z1FkWVMwRHh3EhxDTW1rdGVUNmlQUUNGUThVandvZGgyWUlGdy0w,text_message,4591.783,1:16:31,1636381257302285
add_chat_item,,,UC_2aVH4z0ZTW-tmgCoij3kw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLTN_lRh0hHf6UO8BlRcapb6cwy7OrwKnyYc6NH8=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLTN_lRh0hHf6UO8BlRcapb6cwy7OrwKnyYc6NH8=s64-c-k-c0x00ffffff-no-rj,64,川丸もりおちゃん,2,CjoKGkNQdll2NXo3aVBRQ0ZUTER3Z1FkUTRnTUVBEhxDTFNMM19INWlQUUNGVXB3S2dvZE5kSU00QS0x,text_message,4591.887,1:16:31,1636381257362580
add_chat_item,,,UCAFaDbN3lZKN8RqcssgUdxA,32,32x32,https://yt4.ggpht.com/ytc/AKedOLS2-lTvPHTpzvUVICfOmiyBZHLcAUVjEPuZudH2aA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLS2-lTvPHTpzvUVICfOmiyBZHLcAUVjEPuZudH2aA=s64-c-k-c0x00ffffff-no-rj,64,Yoshimi Amemiya,カンニングするモチベーションがもう無い,CkUKGkNOSzE1Sno3aVBRQ0ZVUUJmUW9kMXp3QlVnEidDTkwyellMd2lQUUNGVTNyandvZG11WU1nUTE2MzYzODEyNTY5MTQ%3D,text_message,4592.434,1:16:32,1636381257964304
add_chat_item,,,UCWyQ6fsTd1-Jh2xdDweYQbw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLT247zsz12wu9F84dEFWU2RTkF6-HbNmiHvUWCCig=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLT247zsz12wu9F84dEFWU2RTkF6-HbNmiHvUWCCig=s64-c-k-c0x00ffffff-no-rj,64,佐藤公代,早くぅー,CkUKGkNLMmk1cHo3aVBRQ0ZhckF3Z1FkNVN3QWtREidDTjZnaU12M2lQUUNGUk5BaFFvZGNZOEJQUTE2MzYzODEyNTY4NTQ%3D,text_message,4592.465,1:16:32,1636381257994581
add_chat_item,,,UCDrkDY5wQwrMQvVoOihj9QQ,32,32x32,https://yt4.ggpht.com/ytc/AKedOLSvdf3GAbPUnRFe5HF7vNJN2eIxs02MLH7LiA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLSvdf3GAbPUnRFe5HF7vNJN2eIxs02MLH7LiA=s64-c-k-c0x00ffffff-no-rj,64,おさないゆう,質問が理解できなかった,CjoKGkNNem4tcHo3aVBRQ0ZhckF3Z1FkNVN3QWtREhxDT2ExMEszeWlQUUNGUlpjV0FvZE1CMEExQS01,text_message,4592.783,1:16:32,1636381258331113
add_chat_item,,,UCwq9pDbPdq9iWfBh12D-uKQ,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQhTort5nMlSIeimIwF0gpZHDL5ZnsgbLoaNgHUcSg=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQhTort5nMlSIeimIwF0gpZHDL5ZnsgbLoaNgHUcSg=s64-c-k-c0x00ffffff-no-rj,64,Jun,アンケート、来ない〜,CjsKGkNMV3ZnSjM3aVBRQ0ZjOFdyUVlkN1FnSGl3Eh1DTEhCcmVqdmlQUUNGUmJCV0FvZHV1d0t1QS01Mw%3D%3D,text_message,4592.943,1:16:32,1636381258422254
